date,ref_regime,log_return,w_held
2022-03-11,bull,0.0046313296960037,0.0
2022-03-14,bear,-0.0292442056026681,0.0
2022-03-15,bear,-0.0496148464984456,0.0
2022-03-16,bear,0.0397498570505403,0.0
2022-03-17,bear,0.0190800196724351,0.0
2022-03-18,bear,0.007502714183817,0.0
2022-03-21,bear,-0.000265731021212,0.0
2022-03-22,bear,-0.0006472331144902,0.0
2022-03-23,bear,0.0052866387877178,0.0
2022-03-24,bear,-0.0065287732692312,0.0
2022-03-25,bear,-0.0167248189004573,0.0
2022-03-28,bear,-0.0041732059389871,0.0
2022-03-29,bear,-0.0037891076283423,0.0
2022-03-30,bear,0.0264792063178126,0.0
2022-03-31,bear,-0.0076492586564152,0.0
2022-04-01,bear,0.0110733032662125,0.0
2022-04-06,bear,-0.0024761594873151,0.0
2022-04-07,bear,-0.0149796110530579,0.0
2022-04-08,bear,0.0041870082852296,0.0
2022-04-11,bear,-0.0314559154619763,0.0
2022-04-12,bear,0.0185079738609686,0.0
2022-04-13,bear,-0.010537973242763,0.0
2022-04-14,bear,0.0126963075536302,0.0
2022-04-15,bear,-0.002669260688086,0.0
2022-04-18,bear,-0.0039514789487889,0.0
2022-04-19,bear,-0.0050709745230841,0.0
2022-04-20,bear,-0.0172169108760432,0.0
2022-04-21,bear,-0.0221209196131593,0.0
2022-04-22,bear,0.002581443556537,0.0
2022-04-25,bear,-0.0544223170548495,0.0
2022-04-26,bear,-0.0120809683231167,0.0
2022-04-27,bear,0.0310820141844381,0.0
2022-04-28,bear,0.0043012124784639,0.0
2022-04-29,bear,0.0275251425141222,0.0
2022-05-05,bear,0.0012689449368051,0.0
2022-05-06,bear,-0.0247357657125339,0.0
2022-05-09,bear,-0.0042485609849432,0.0
2022-05-10,bear,0.011827144625357,0.0
2022-05-11,bear,0.0129838921676148,0.0
2022-05-12,bear,-0.0031463695446906,0.0
2022-05-13,bear,0.0080159434221774,0.0
2022-05-16,bear,-0.0063121447671921,0.0
2022-05-17,bear,0.0105419923515823,0.0
2022-05-18,bear,-0.0034065051053392,0.0
2022-05-19,bear,0.0033510295690459,0.0
2022-05-20,bear,0.0184986251328931,0.0
2022-05-23,bear,-0.002953183144728,0.0
2022-05-24,bear,-0.0269139696995357,0.0
2022-05-25,bear,0.0087553912933051,0.0
2022-05-26,bear,0.0052118066971197,0.0
2022-05-27,bear,0.0013048526957083,0.0
2022-05-30,bull,0.0074470442075254,0.0
2022-05-31,bull,0.0151600836347797,0.0
2022-06-01,bull,-0.0012943765679944,0.0
2022-06-02,bull,0.0040618620283109,0.0
2022-06-06,bull,0.0184262569860012,0.0
2022-06-07,bull,0.0024187857669066,0.0
2022-06-08,bull,0.0088927244463843,0.0
2022-06-09,bull,-0.0111483525839236,0.0
2022-06-10,bull,0.0162437050556136,0.0
2022-06-13,bull,-0.0090553505784921,0.0
2022-06-14,bull,0.0076192214523883,0.0
2022-06-15,bull,0.0095480856419459,0.0
2022-06-16,bull,-0.0041445132555391,0.0
2022-06-17,bull,0.0126494338516329,0.0
2022-06-20,bull,0.0050057802767446,0.0
2022-06-21,bull,-0.0023710496847483,0.0
2022-06-22,bull,-0.0132922175937845,0.0
2022-06-23,bull,0.0178247082895728,0.0
2022-06-24,bull,0.0117021239883229,0.0
2022-06-27,bull,0.010132618962844,0.0
2022-06-28,bull,0.0114901946428211,0.0
2022-06-29,bull,-0.0158927971129594,0.0
2022-06-30,bull,0.0147221969852049,0.0
2022-07-01,bull,-0.0036844661792068,0.0
2022-07-04,bull,0.0081187109825554,0.0
2022-07-05,bull,-0.0014834531481581,0.0
2022-07-06,bull,-0.014406354261321,0.0
2022-07-07,bull,0.0049719470295361,0.0
2022-07-08,bull,-0.0037114036153711,0.0
2022-07-11,bull,-0.0155781567602804,0.0
2022-07-12,bull,-0.0092331798920579,0.0
2022-07-13,bull,0.0026638535156996,0.0
2022-07-14,bull,0.0015562611581074,0.0
2022-07-15,bull,-0.0151190873027965,0.0
2022-07-18,bull,0.0123439248073218,0.0
2022-07-19,bull,-0.0031370842502349,0.0
2022-07-20,bull,0.0054753958116471,0.0
2022-07-21,bull,-0.0102785905213991,0.0
2022-07-22,bull,-0.0017637009872182,0.0
2022-07-25,bull,-0.0067919983351966,0.0
2022-07-26,bull,0.0090119566647457,0.0
2022-07-27,sideways,-0.0027749579765098,0.0
2022-07-28,sideways,0.0010251978593462,0.0
2022-07-29,sideways,-0.0118453861039858,0.0
2022-08-01,sideways,0.0054556583326543,0.0
2022-08-02,sideways,-0.0217977612682512,0.0
2022-08-03,sideways,-0.00915384675298,0.0
2022-08-04,sideways,0.0077735575472986,0.0
2022-08-05,bull,0.0151694985221171,0.0
2022-08-08,bull,0.0005831590766289,0.0
2022-08-09,bull,0.0022104677166337,0.0
2022-08-10,bull,-0.0091640327813728,0.0
2022-08-11,bull,0.0197388567363882,0.0
2022-08-12,bull,-0.0010501297980639,0.0
2022-08-15,bull,-9.54563214000237e-05,0.0
2022-08-16,bull,-0.000507106125774,0.0
2022-08-17,bull,0.0080744051000854,0.0
2022-08-18,bull,-0.0074582327973359,0.0
2022-08-19,bull,-0.0081537261461887,0.0
2022-08-22,bull,0.008617112323835,0.0
2022-08-23,bull,-0.0037497431822024,0.0
2022-08-24,bull,-0.02146240447103,0.0
2022-08-25,bull,0.0079759795936261,0.0
2022-08-26,bull,-0.0021959928448833,0.0
2022-08-29,bull,-0.0028130438561632,0.0
2022-08-30,bull,-0.0034941569606413,0.0
2022-08-31,bull,-0.004663573349035,0.0
2022-09-01,bull,-0.0076690968107917,0.0
2022-09-02,sideways,-0.0028267036216341,0.0
2022-09-05,sideways,-0.0001757781915824,0.0
2022-09-06,sideways,0.0112700380786851,0.0
2022-09-07,sideways,0.000899641503569,0.0
2022-09-08,sideways,-0.0043345726090323,0.0
2022-09-09,sideways,0.0120964520293225,0.0
2022-09-13,sideways,0.002519370253611,0.0
2022-09-14,sideways,-0.0104018615729631,0.0
2022-09-15,sideways,-0.0127971299377339,0.0
2022-09-16,sideways,-0.0241488306511143,0.0
2022-09-19,sideways,-0.0025351153414318,0.0
2022-09-20,sideways,0.0028892629465254,0.0
2022-09-21,sideways,-0.004727500078918,0.0
2022-09-22,sideways,-0.0071485048827789,0.0
2022-09-23,sideways,-0.0058110875791895,0.0
2022-09-26,sideways,-0.0073037260148992,0.0
2022-09-27,sideways,0.015672998839244,0.0
2022-09-28,bull,-0.0186771736169333,0.0
2022-09-29,bull,-0.0002003620627681,0.0
2022-09-30,bull,-0.0068790604554509,0.0
2022-10-10,bull,-0.0202061317342058,0.0
2022-10-11,bull,0.0035070883473357,0.0
2022-10-12,bull,0.0172174151578331,0.0
2022-10-13,bull,-0.0057628258127299,0.0
2022-10-14,bull,0.0237991464670125,0.0
2022-10-17,bull,0.0025496124625124,0.0
2022-10-18,bull,-0.0007306387627182,0.0
2022-10-19,bull,-0.0147482703087597,0.0
2022-10-20,bull,-0.0048780599218683,0.0
2022-10-21,bull,-0.0020173564981318,0.0
2022-10-24,bull,-0.0246169127388022,0.0
2022-10-25,bull,-0.0024083719237782,0.0
2022-10-26,bull,0.0104700421410854,0.0
2022-10-27,bull,-0.0055877918214064,0.0
2022-10-28,bull,-0.0265601885736645,0.0
2022-10-31,bull,-0.0056463353650135,0.0
2022-11-01,bear,0.0318839514391459,0.0
2022-11-02,bear,0.0112930732436715,0.0
2022-11-03,bear,-0.0060647626694914,0.0
2022-11-04,bear,0.0296431861854648,0.0
2022-11-07,bear,0.0019287600713968,0.0
2022-11-08,bear,-0.0053976563579409,0.0
2022-11-09,bear,-0.0074401408762112,0.0
2022-11-10,bear,-0.007030237297121,0.0
2022-11-11,bear,0.0223735715213635,0.0
2022-11-14,bear,0.00070044702226,0.0
2022-11-15,bear,0.0183966730427308,0.0
2022-11-16,bear,-0.007425758666722,0.0
2022-11-17,bear,-0.0024761243953629,0.0
2022-11-18,bear,-0.0043622016152035,0.0
2022-11-21,bear,-0.0063992640944869,0.0
2022-11-22,bear,-0.0026563968072716,0.0
2022-11-23,bear,0.0003612366323742,0.0
2022-11-24,bear,-0.0030880518091487,0.0
2022-11-25,bull,0.0023430007802571,0.0
2022-11-28,bull,-0.0097522397229683,0.0
2022-11-29,bull,0.0271132952141862,0.0
2022-11-30,bull,0.0005659390593669,0.0
2022-12-01,bull,0.0092460756517128,0.0
2022-12-02,bull,-0.0053086942834332,0.0
2022-12-05,bull,0.0163900434548843,0.0
2022-12-06,bull,0.00386222768836,0.0
2022-12-07,bull,-0.0021321383440201,0.0
2022-12-08,bull,-0.0005886565256951,0.0
2022-12-09,bull,0.0075777439829939,0.0
2022-12-12,bull,-0.009922060257819,0.0
2022-12-13,bull,-0.0028559799986231,0.0
2022-12-14,bull,0.001158304355962,0.0
2022-12-15,bull,-0.0003115222328722,0.0
2022-12-16,bull,-0.0008072634313601,0.0
2022-12-19,bull,-0.0173855411170866,0.0
2022-12-20,bull,-0.014902229398208,0.0
2022-12-21,bull,-0.0011129500735752,0.0
2022-12-22,bull,-0.0018578670895212,0.0
2022-12-23,bull,-0.0022032442245863,0.0
2022-12-26,bull,0.0065196064983265,0.0
2022-12-27,sideways,0.0109650354622756,0.0
2022-12-28,sideways,-0.0042089541364639,0.0
2022-12-29,sideways,-0.0029892856895416,0.0
2022-12-30,sideways,0.0031873736592395,0.0
2023-01-03,sideways,0.0070732764448826,0.0
2023-01-04,sideways,0.0008167798025588,0.0
2023-01-05,sideways,0.0168053983483842,0.0
2023-01-06,sideways,0.0024096010974925,0.0
2023-01-09,sideways,0.007163947330317,1.0
2023-01-10,sideways,0.0011565876808401,1.0
2023-01-11,sideways,-0.0027621787308607,1.0
2023-01-12,sideways,0.0015074470078027,1.0
2023-01-13,sideways,0.0122202672516809,1.0
2023-01-16,sideways,0.0144231570443104,1.0
2023-01-17,sideways,0.0001329067337678,1.0
2023-01-18,sideways,-0.0004874391847259,1.0
